"","responseid","condition","veracity","topic","accuracy","reliable","unbiased","aot","cmt","pet","pit","screenacc"
"1","R_00suAjQYQjEHmKJ","correction","none","brain",70,72,60,4,4.33333333333333,2.33333333333333,3.16666666666667,1
"2","R_00suAjQYQjEHmKJ","correction","false","brain",45,41,50,4,4.33333333333333,2.33333333333333,3.16666666666667,1
"3","R_00suAjQYQjEHmKJ","correction","true","brain",93,83,87,4,4.33333333333333,2.33333333333333,3.16666666666667,1
"4","R_06qH5lPKTldwLw5","debunk","none","asymp",100,100,100,3.16666666666667,2,4.33333333333333,4.16666666666667,1
"5","R_06qH5lPKTldwLw5","debunk","none","asymp",100,100,100,3.16666666666667,2,4.33333333333333,4.16666666666667,1
"6","R_06qH5lPKTldwLw5","debunk","false","asymp",81,82,74,3.16666666666667,2,4.33333333333333,4.16666666666667,1
"7","R_06qH5lPKTldwLw5","debunk","true","asymp",100,100,100,3.16666666666667,2,4.33333333333333,4.16666666666667,1
"8","R_09xzZqPgSErZu6Z","correction","none","asp",88,84,91,2.83333333333333,2.83333333333333,1.5,5.16666666666667,1
"9","R_09xzZqPgSErZu6Z","correction","false","asp",50,19,18,2.83333333333333,2.83333333333333,1.5,5.16666666666667,1
"10","R_09xzZqPgSErZu6Z","correction","true","asp",51,13,18,2.83333333333333,2.83333333333333,1.5,5.16666666666667,1
"11","R_0BXYEHJik3VrfbP","correction","none","rust",22,16,3,2.5,3.83333333333333,2.16666666666667,3.16666666666667,1
"12","R_0BXYEHJik3VrfbP","correction","false","rust",50,29,22,2.5,3.83333333333333,2.16666666666667,3.16666666666667,1
"13","R_0BXYEHJik3VrfbP","correction","true","rust",45,29,19,2.5,3.83333333333333,2.16666666666667,3.16666666666667,1
"14","R_0DOfiyAJHF3nUoF","misinfo","none","brain",50,29,73,3.5,3.83333333333333,3.33333333333333,3.5,1
"15","R_0DOfiyAJHF3nUoF","misinfo","false","brain",71,30,83,3.5,3.83333333333333,3.33333333333333,3.5,1
"16","R_0DOfiyAJHF3nUoF","misinfo","true","brain",82,73,55,3.5,3.83333333333333,3.33333333333333,3.5,1
"17","R_0IK3ZMN4nouMqEV","debunk","none","herd",95,96,21,2,2.16666666666667,2,4,1
"18","R_0IK3ZMN4nouMqEV","debunk","none","herd",15,0,0,2,2.16666666666667,2,4,1
"19","R_0IK3ZMN4nouMqEV","debunk","false","herd",9,5,30,2,2.16666666666667,2,4,1
"20","R_0IK3ZMN4nouMqEV","debunk","true","herd",96,97,96,2,2.16666666666667,2,4,1
"21","R_0Ngc1m3cymVAWXf","debunk","none","ive",73,83,96,4.16666666666667,2,4.83333333333333,4.83333333333333,1
"22","R_0Ngc1m3cymVAWXf","debunk","none","ive",28,41,53,4.16666666666667,2,4.83333333333333,4.83333333333333,1
"23","R_0Ngc1m3cymVAWXf","debunk","false","ive",60,53,53,4.16666666666667,2,4.83333333333333,4.83333333333333,1
"24","R_0Ngc1m3cymVAWXf","debunk","true","ive",53,48,44,4.16666666666667,2,4.83333333333333,4.83333333333333,1
"25","R_0SS9Tn77diE7GVP","debunk","none","brain",84,NA,85,1.33333333333333,3,1,1.16666666666667,0.5
"26","R_0SS9Tn77diE7GVP","debunk","none","brain",20,30,NA,1.33333333333333,3,1,1.16666666666667,0.5
"27","R_0SS9Tn77diE7GVP","debunk","false","brain",20,20,10,1.33333333333333,3,1,1.16666666666667,0.5
"28","R_0SS9Tn77diE7GVP","debunk","true","brain",92,80,65,1.33333333333333,3,1,1.16666666666667,0.5
"29","R_0eplXqaX6kGlxa9","correction","none","rust",50,50,50,3,1.83333333333333,1.83333333333333,4.5,1
"30","R_0eplXqaX6kGlxa9","correction","false","rust",10,20,60,3,1.83333333333333,1.83333333333333,4.5,1
"31","R_0eplXqaX6kGlxa9","correction","true","rust",50,60,10,3,1.83333333333333,1.83333333333333,4.5,1
"32","R_0ptvfUnIp7mfyM1","misinfo","none","herd",70,25,0,1.16666666666667,2.5,1.83333333333333,3.66666666666667,1
"33","R_0ptvfUnIp7mfyM1","misinfo","false","herd",35,25,0,1.16666666666667,2.5,1.83333333333333,3.66666666666667,1
"34","R_0ptvfUnIp7mfyM1","misinfo","true","herd",100,100,90,1.16666666666667,2.5,1.83333333333333,3.66666666666667,1
"35","R_0wZEXVGRmY26K9r","debunk","none","ive",86,87,81,3,4.33333333333333,1.83333333333333,4.16666666666667,1
"36","R_0wZEXVGRmY26K9r","debunk","none","ive",64,67,31,3,4.33333333333333,1.83333333333333,4.16666666666667,1
"37","R_0wZEXVGRmY26K9r","debunk","false","ive",64,65,36,3,4.33333333333333,1.83333333333333,4.16666666666667,1
"38","R_0wZEXVGRmY26K9r","debunk","true","ive",71,75,70,3,4.33333333333333,1.83333333333333,4.16666666666667,1
"39","R_10H5IEhdyskmAmC","debunk","none","herd",81,82,89,3,2.33333333333333,2,3.66666666666667,1
"40","R_10H5IEhdyskmAmC","debunk","none","herd",37,23,33,3,2.33333333333333,2,3.66666666666667,1
"41","R_10H5IEhdyskmAmC","debunk","false","herd",30,31,12,3,2.33333333333333,2,3.66666666666667,1
"42","R_10H5IEhdyskmAmC","debunk","true","herd",81,81,41,3,2.33333333333333,2,3.66666666666667,1
"43","R_10NRWxm0uPQ4dQL","debunk","none","herd",60,60,22,2.83333333333333,2.83333333333333,3,3.16666666666667,1
"44","R_10NRWxm0uPQ4dQL","debunk","none","herd",50,50,23,2.83333333333333,2.83333333333333,3,3.16666666666667,1
"45","R_10NRWxm0uPQ4dQL","debunk","false","herd",28,28,16,2.83333333333333,2.83333333333333,3,3.16666666666667,1
"46","R_10NRWxm0uPQ4dQL","debunk","true","herd",60,60,58,2.83333333333333,2.83333333333333,3,3.16666666666667,1
"47","R_10SEAV4lhEOkW6a","correction","none","herd",90,90,100,1.66666666666667,1.66666666666667,2,2,1
"48","R_10SEAV4lhEOkW6a","correction","false","herd",0,0,0,1.66666666666667,1.66666666666667,2,2,1
"49","R_10SEAV4lhEOkW6a","correction","true","herd",100,90,100,1.66666666666667,1.66666666666667,2,2,1
"50","R_10SGRCIXrSMVj1X","correction","none","herd",95,93,100,3.16666666666667,3,3.66666666666667,4.83333333333333,1
"51","R_10SGRCIXrSMVj1X","correction","false","herd",7,5,1,3.16666666666667,3,3.66666666666667,4.83333333333333,1
"52","R_10SGRCIXrSMVj1X","correction","true","herd",91,98,98,3.16666666666667,3,3.66666666666667,4.83333333333333,1
"53","R_10pcAOvvKavW7wA","correction","none","rust",65,54,30,2.83333333333333,1.16666666666667,1.66666666666667,4.66666666666667,1
