Rand_ID,Age,Sex,Symbols,L_Words,S_Words,MatchAcc,MillHillCorr
56,20,Female,17,11,10,0.94,0.424242424
104,20,Female,11,8,8,0.98,0.636363636
137,22,Male,10,7,7,1,0.636363636
177,19,Female,6,6,5,0.9,0.393939394
228,18,Male,16,7,7,1,0.454545455
233,19,Female,6,4,4,0.98,0.393939394
353,22,Male,13,8,8,0.92,0.606060606
377,21,Female,15,9,9,0.92,0.454545455
489,21,Female,14,12,12,0.96,0.363636364
727,18,Female,5,13,13,0.9,0.515151515
814,21,Male,11,11,11,0.98,0.545454545
846,19,Female,11,9,8,0.82,0.454545455
962,20,Female,11,9,9,0.9,0.424242424
1111,19,Female,11,12,12,1,0.515151515
1180,17,Female,15,10,10,1,0.545454545
1195,21,Male,10,11,11,0.94,0.515151515
1216,19,Male,4,2,2,0.96,0.454545455
1244,21,Female,10,8,8,0.98,0.454545455
1309,23,Female,13,10,10,0.98,0.606060606
1384,22,Female,10,12,12,0.9,0.484848485
1549,24,Female,12,6,6,0.98,0.636363636
1607,21,Female,15,9,9,0.98,0.424242424
1632,19,Female,14,6,5,0.92,0.424242424
2492,22,Female,10,11,10,1,0.575757576
2512,25,Female,14,13,13,0.96,0.636363636
2713,22,Female,14,12,12,0.94,0.454545455
2939,21,Female,14,9,9,0.96,0.424242424
3213,25,Female,16,10,10,0.94,0.515151515
3245,20,Female,13,10,9,0.92,0.454545455
4021,22,Female,10,6,6,0.98,0.42
4226,18,Female,19,16,16,1,0.636363636
4229,19,Female,10,9,9,0.96,0.454545455
4377,19,Female,12,7,7,0.96,0.575757576
4505,18,Male,7,12,11,0.96,0.484848485
4592,18,Male,8,12,11,0.9,0.333333333
4595,18,Female,19,25,25,0.98,0.424242424
4658,18,Male,9,7,7,1,0.575757576
4730,18,Male,8,9,9,1,0.757575758
5082,27,Male,11,12,12,0.94,0.727272727
5120,17,Male,11,10,10,0.98,0.424242424
5141,17,Female,19,4,4,1,0.606060606
5201,18,Male,6,3,3,0.96,0.575757576
5288,17,Female,14,9,9,0.88,0.636363636
5336,19,Male,17,15,15,1,0.515151515
5414,21,Female,14,17,17,1,0.575757576
5432,21,Female,9,5,5,0.94,0.575757576
5433,19,Male,9,7,7,0.98,0.606060606
6053,18,Female,14,4,4,0.92,0.454545455
6191,19,Female,7,8,8,0.96,0.515151515
6245,19,Female,20,6,6,0.84,0.181818182
6249,19,Female,12,10,10,0.98,0.393939394
6299,18,Male,9,3,2,0.96,0.484848485
6302,18,Female,4,8,7,0.94,0.545454545
6402,21,Female,7,9,9,0.92,0.393939394
6434,20,Female,6,5,5,0.88,0.424242424
6437,17,Male,9,6,6,0.9,0.454545455
6455,18,Male,15,8,8,0.98,0.242424242
6479,18,Male,13,10,10,0.92,0.363636364
6581,22,Female,5,8,8,0.92,0.515151515
6617,19,Female,8,0,0,0.98,0.545454545
6623,18,Female,8,5,5,1,0.545454545
6701,17,Male,10,4,4,0.94,0.303030303
6728,20,Female,4,6,6,0.92,0.515151515
6758,18,Female,7,6,6,0.98,0.424242424
6806,18,Female,12,5,4,0.9,0.545454545
6844,31,Female,18,14,14,0.98,0.727272727
6875,18,Male,10,6,6,0.9,0.575757576
7116,23,Female,6,13,12,0.98,0.484848485
7223,19,Female,19,12,12,0.96,0.636363636
7313,18,Female,12,8,8,0.9,0.454545455
7333,22,Female,11,12,12,0.96,0.393939394
7342,22,Female,15,10,10,0.98,0.545454545
7418,18,Female,12,6,6,0.96,0.303030303
7535,19,Male,15,12,10,0.92,0.515151515
7544,17,Male,11,9,8,0.92,0.393939394
7598,18,Female,11,10,9,1,0.484848485
7611,18,Female,10,11,11,0.9,0.454545455
7613,19,Female,9,13,13,0.94,0.484848485
7631,18,Female,5,5,5,0.94,0.575757576
7660,19,Female,16,10,10,0.94,0.515151515
7732,19,Male,6,9,9,0.96,0.484848485
7735,19,Female,11,6,6,0.86,0.363636364
7755,19,Male,13,6,6,0.94,0.424242424
7766,18,Female,16,9,9,0.98,0.363636364
7804,20,Female,10,7,7,0.98,0.393939394
7826,18,Male,5,3,3,0.94,0.484848485
7834,19,Male,9,8,7,0.96,0.333333333
7859,18,Female,10,7,7,0.86,0.333333333
7883,18,Female,10,4,4,0.88,0.303030303
7920,19,Female,12,7,7,1,0.727272727
7943,17,Male,9,9,9,0.98,0.515151515
8008,19,Female,10,9,9,0.98,0.424242424
8032,19,Female,6,2,2,0.92,0.515151515
8039,19,Male,12,6,6,0.82,0.272727273
8079,20,Female,13,7,7,1,0.606060606
8086,20,Female,6,6,6,0.88,0.454545455
8109,20,Female,10,7,7,0.98,0.515151515
8175,20,Male,13,6,6,0.9,0.515151515
8195,20,Male,7,5,5,0.92,0.484848485
8214,19,Female,6,4,4,0.86,0.424242424
8281,19,Female,14,13,13,1,0.484848485
8329,19,Female,13,3,3,0.98,0.636363636
8446,19,Male,8,5,5,0.96,0.484848485
8463,20,Female,15,10,9,0.96,0.515151515
8485,19,Male,13,5,5,0.98,0.575757576
8579,20,Female,11,6,6,0.98,0.484848485
8616,19,Female,7,6,6,0.92,0.515151515
8653,19,Female,13,9,9,0.94,0.454545455
8669,18,Female,14,2,2,1,0.363636364
8727,19,Female,13,6,6,0.96,0.515151515
8758,19,Female,5,7,7,0.94,0.484848485
8790,19,Female,13,10,9,0.94,0.454545455
9072,20,Female,11,6,6,0.94,0.575757576
9100,21,Female,16,9,9,0.84,0.545454545
9160,19,Female,11,14,14,0.96,0.424242424
9226,19,Female,15,10,9,0.92,0.606060606
9273,21,Female,6,11,11,0.92,0.636363636
9320,18,Male,9,3,3,0.98,0.515151515
9368,26,Female,9,10,9,0.98,0.545454545
9484,20,Female,15,5,5,0.92,0.545454545
9514,19,Female,8,6,5,0.88,0.545454545
9518,19,Female,12,7,7,0.94,0.484848485
9569,18,Female,12,5,4,0.88,0.515151515
9604,19,Female,19,14,14,0.94,0.575757576
9677,21,Male,9,6,6,0.94,0.454545455
9681,20,Female,12,6,5,0.98,0.454545455
9707,19,Female,14,6,6,0.94,0.454545455
9756,22,Male,9,3,3,0.98,0.484848485
9824,20,Female,12,6,6,1,0.575757576
9914,21,Male,19,16,15,0.96,0.636363636
9994,22,Female,8,7,7,0.94,0.393939394
